NVS_Training_Object_ID,NVS_Training_Action,NVS_Course_Training_Provider,NVS_Course_Training_Title_x,NVS_Course_Description_x,Description sufficient,Reason if insufficient
a949379f-5ad7-4142-9681-004203a26fab,Keep,Corporate Functions,ConnectedMINDS Sprint – Working with Focus,"The working environment has become more and more fragmented. We have a constant barrage of e-mails, yammer and MS Teams messages, calls and other work related interruptions. This is coupled with the digital distractions from our devices. Many of us find it hard to work with a degree of focus and get stuff done. This is no oneâ€™s fault â€“ this is simply is a natural result of training ourselves to respond to any interruption â€“ rather than training ourselves to remain focused.Â  This connectedMINDS journey will help you establish 3-4 key habits of focus in your working day, so that you have a feeling of being able to concentrate and work with efficacy. Through your own experience, you will deepen your understanding of how you can influence the basic physiological networks that underpin your ability to focus. In the two weeks of the program we will be focusing on core skills and how to anchor new habits.Â  -Sessions 1-2: Basics: Understanding attention and the role of mindfulness in streng",no,other
b74aee44-454b-4eb3-9fec-0064eef530d9,Keep,Corporate Functions,Mental wellbeing in critical times: from conflict to collaboration.,"""Transformations are challenging. They also offer opportunities for growth â€“ as an individual and as a community. In this interactive session we will support you in identifying your growth potential, strengthen individual and community resilience in critical times, and grounding oneself in core values. This is important to stay mentally healthy. We will use various practical exercises and initiate the creation of a personal action plan. Dr Olga Klimecki-Lenz, PhD, focuses on promoting the sustainable development goals i) peace building, ii) high quality education, and iii) health and well-being in her research. She is currently an associated researcher in psychology at the Technical University Dresden, the University of Geneva, the University of LiÃ¨ge and the Laboratory for Peace at the Jimmy and Rosalynn Carter School for Peace and Conflict Resolution, George Mason University, Virginia, USA. In recognition of her ground-breaking research on neural plasticity and conflict resolution, Olga received s",,
70ca382a-aeb3-49b8-8465-009a4bb7932e,Keep,NBS,TPRM Training Sessions for Business Owners-Europe,"""We would like to invite you to familiarize yourself in our new training sessions with the important Third Party Risk Management Program of Novartis. In these events we would like to familiarize you with the following elements: • What is the Third Party Risk Management Program and why is it so important for Novartis? • What is the scope of the program? • Who is the business owner and what are his / her responsibilities? • What is the process of the Third Party Risk Assessments? • What are your obligations to help protect yourself and Novartis? • What support and tools are available for you?",,
e2ac5015-7116-4f5f-a486-00fa5c5d90b1,Keep,Global Drug Development,Critical Thinking Peer Learning Session,The aim of this session will be to discuss with your colleagues how Critical Thinking can impact your day-to-day work. A Clinical Development Critical Thinking Champion will facilitate this session sharing own experiences and best practices in applying the SCAN methodology or other Critical thinking concepts. Please make sure to build your SCAN profile prior to the session,yes,
e055ddf9-4c8c-49c0-a96a-012100c43d16,Keep,NIBR,Beyond Awareness: Anti-racism in Action,"Part 1 (15 Oct 2021: 10-11am ET) Interview with Dr. Ibram X. Kendi, Andrew W. Mellon Professor in the Humanities and the Found Director of the Boston University Center for Antiracist Research.Â  Part 2 (29 Oct 2021: 10-11am ET) Panelists discuss anti-racism action at NIBR and Novartis.",,
520ba579-3762-4af4-8319-014a35a436e0,Keep,NBS,SAP Ariba Sourcing User Training,"""In this virtual training Procurement team members will learn how to user Ariba Sourcing for their day to day sourcing process management. Courses objectives:  •	Introduction to Ariba Sourcing •	How to work on Ariba by setting up projects and collaborating with suppliers and business stakeholders •	Introduction to Savings Document functionality on Ariba  •	Experience reporting functionalities.  Pre-requisite - Please complete the ARIBA pre requisites before attending the session.""",yes,
8ba9aa90-9223-4402-9338-686d3960ddfd,Keep,Global Drug Development,Self inspection observation –CAPA #2031130,Awareness for writing risk assessment in case exceeding bioburden action limit when manufacturing at CMO,,
17f788dc-fcca-4fd1-9a6f-01906a321581,Keep,NIBR,ATI Seminar Series,External specialist are presenting their knowledge about their scientific work to give insights in form of a virtual or in person scientific seminar.,,
47c4e229-8da3-4f27-b757-01a13a07e752,Keep,NBS,NGSC KL CTS New Employee Orientation Program,"Mandatory trainings for all new joiners in NGSC Kuala Lumpur - Novartis, NGSC & CTS overview - Quality & Data Integrity - Ethics, Risks & Compliance Training - BCM & NEM @ Novartis – HSE - P&O Talent Acquisition & Staffing (TAS) - Overview on P&O - Legal Training - Data Privacy - IT Orientation - ISRM Overview - Energized For Life (EFL) - P&O Services - Overview on Expenses claims & Travel Policy - Overview on Procurement",,
a816c41e-4a5b-425f-b334-01c6c86ff2b2,Keep,SANDOZ,SDZ BCD_High Impact Meeting Facilitation,High Impact Meeting Facilitation Training for Sandoz,no,missing relevance
